"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"IMP_58T60",1.1,0.4,0.1,0.8,0,7.8,0.6,0.6,2.4,0.3,1.9,1,1.4,0.6,1.3,0.7,0.2,0.1,0.5,2.2,0.1,0.5,0.8,0.6,3.6,47.4,6.2,2.8,0.9,2.6,0.6,3,9.2,8.8,5,17.6,6.9,15.7,6.6,5.6,13.7,7.9,2,2.2,0,130.6,3.8,1,14.5,0,8,0,0,352.5,0
"IMP_61",0.3,0.1,0,0.6,0,0.8,0.1,0.1,0.3,0.3,0.4,0.1,0.2,0.1,0.7,0.1,0.1,0,0.1,0,0,0.2,0.2,0.1,1.9,3,1.2,0.1,0.3,0.4,0,0.3,1.8,24,0.7,1.5,0.3,0.9,0.8,1.7,0.5,0.6,0.1,0.3,0,36.2,0,0,3.4,0,28,0,0,112.8,0
"IMP_62T63",0.4,0.1,0.6,7.9,0,22.7,3.3,3.3,6.1,2.2,10.9,3.7,0.9,2.9,9.3,6.6,1.2,0.4,4.1,0,0.6,3.7,1.7,1.4,4,33.3,14.3,1.3,2.6,4.4,0.1,1.3,3,11.5,26.2,28.5,2.9,24.9,11.9,14.1,2.2,3.7,1.9,0.8,0,35.5,0,0.4,180.2,0,0.8,0,0,503.9,0
"IMP_64T66",15.6,4.2,1.2,10.6,0,9.9,2.1,2.8,5.2,2.3,2.9,0.6,2.7,1.5,8.7,2.3,0.8,0.4,1.4,0,0.4,2.8,10.4,2.3,50.5,72.3,20.9,3.4,2.3,6.1,0.3,6.3,1.5,4.4,6.1,156.8,19.8,23.5,25.9,5.9,9.6,11.1,3.5,2.4,0,362.6,0,4.6,1.9,0,26.2,0,0,919.2,0
"IMP_68",0.6,0.3,0,0.2,0,2.1,0.6,0.1,0.4,0,0.4,0.1,0.3,0.3,0.3,0.4,0.1,0.1,0.2,0,0,0.7,0.3,0.1,7,24.9,1.2,0.1,2.3,1.7,0.1,5.4,0.3,1.8,1.1,3.7,3.3,4.8,2.6,1.6,4.1,1.8,0.7,2.4,0,10.2,0,0,2.4,0,74.5,0,0,165.6,0
"IMP_69T75",2.1,0.8,2.6,24.8,0.6,28.5,3.8,6.3,7.4,3.2,10.1,4.8,2.2,4.4,27,6,1,0.6,4.5,5.5,0.8,3.1,3.7,2.5,39.2,109.4,7,0.9,5.4,6.7,0.4,7.2,4.2,8.2,8.6,23.4,19.7,49.5,15.7,4.1,6.9,5.2,3.5,5,0,70.2,0,1.9,62.4,0,12.2,0,0,633.3,0
"IMP_77T82",3.6,2.2,0.8,16.1,0,16.2,0.9,3.7,7.7,2,4.9,0.3,1,3.2,15.6,2,0.4,0.2,1.1,0,0.9,1.9,1.7,3.1,55.9,55.2,36.5,1.3,10.3,10.3,0.6,5.6,3.7,20.5,4.8,29.4,5.9,14.6,14.9,20.5,6.7,7.7,3.9,2.6,0,26.1,0,0,4.1,0,22.1,0,0,452.7,0
"IMP_84",1,0.2,0.1,6,0,2,0.2,0.5,0.8,0.5,1.6,0.2,0.4,1.1,8.5,0.7,0.1,0.1,0.3,0,0.1,0.3,0.9,0.1,3.3,3.5,1.8,1.4,0.6,0.5,0,0.3,0.3,0.3,0.4,1.2,0.3,1.1,0.6,0.6,0.3,0.5,0.4,0.2,0,14.1,0.1,0.2,7.8,0,6.1,0,0,71.6,0
"IMP_85",0.1,0,0,0.2,0,0.3,0,0.1,0.2,0,0.2,0,0.1,0.1,0.2,0.1,0,0,0.1,0,0,0.1,0.1,0,0.4,0.7,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.4,0.2,0.2,0.1,0.1,0,0.1,0,2.5,0,0,6.5,0,71.8,0,0,86.1,0
"IMP_86T88",0.3,0.1,0,0.3,0,0.5,0.1,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.4,0.1,0,0,0.1,0,0,0.1,0.2,0,1.3,1,0.7,0.1,0.2,0.1,0,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.3,0,0.1,0,4.7,0,0,2.1,0,20.2,0,0,36,0
"IMP_90T93",0.1,0,0,0.2,0,0.3,0.1,0,0.3,0.1,0.2,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0,0.8,0.8,0.4,0,0.1,0.1,0,0.2,8.2,0.1,0.2,0.5,0.1,11,0.2,3,0.1,0.1,14.9,0.1,0,128.6,2.6,5,0.7,0,48.7,0,0,228.6,0
"IMP_94T96",0.4,0.1,0,0.3,0,0.8,0.2,0.1,0.3,0.2,0.4,0.1,0.2,0.1,0.5,0.1,0,0,0.1,0,0,0.1,0.2,0,1.3,1.6,0.3,0.1,0.1,0.1,0,0.2,0.1,0.1,0.2,0.3,0.1,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0,8.7,0,0,4.4,0,26.6,0,0,50.1,0
"IMP_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXS_IMP_FNL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.8,0,0,63.8,0
"TXS_INT_FNL",337.6,126.1,5.8,207.7,0.2,733.2,50.2,41,134.8,91.7,139.8,36.5,57.9,64.1,317.7,97.8,13.6,12.8,35.7,7.8,10.9,36.4,425.3,33.1,520.5,363.4,659,238,163.7,37.4,2.5,173.5,26.5,89.4,32.2,78.2,135.3,75.2,71.3,173.6,76.4,134.2,13.3,34.8,0,5903.1,24.8,162.4,1624.3,0,0,1109,0,0,14939.6
"TTL_INT_FNL",6718.1,1650.4,239.7,8025.5,25.3,16850.6,1193.6,2057,3923.1,4961.4,3870.5,807.3,1702.7,1965.8,11742.9,1934.9,336.4,264.3,923,253.5,284.1,1041.3,7718.3,791.6,14353.8,14516.3,6785.4,3025.7,1868.9,1333,227.1,3293,983,4262.8,1355.4,5195.2,4612.4,4031.7,2815.7,3598.8,1974.8,3218.9,612,966.5,0,98927.9,1443.2,21406,38732.6,-1417.4,1286.1,2653.8,61714.4,50976.4,434034.4
"VALU",5651.7,885.5,245.4,12830.9,44.7,5992.8,471.5,684.3,1772,160.2,1608.9,376,486.7,659.9,12289,1226.9,269.5,71.2,499,75.7,137.9,765.3,4154.3,1078.8,11972.9,13582.9,4693.5,76.1,1270.2,2460.4,212.3,2515.1,587,3022.5,2070.5,9021.7,11338.8,11992.6,5422,7949,8329.2,6372.2,731.8,2771.7,0,0,0,0,0,0,0,0,0,0,158830.5
"OUTPUT",12369.8,2535.9,485,20856.4,70,22843.5,1665.1,2741.3,5695.1,5121.6,5479.3,1183.3,2189.4,2625.7,24031.9,3161.7,605.9,335.5,1422,329.2,422.1,1806.6,11872.7,1870.4,26326.7,28099.1,11478.8,3101.8,3139.1,3793.4,439.4,5808,1570,7285.3,3425.8,14216.9,15951.2,16024.3,8237.7,11547.8,10304,9591.1,1343.8,3738.2,0,0,0,0,0,0,0,0,0,0,317142
